Rank,University,Location,Overall Score,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score
1501+,El Bosque University,Colombia,10.5–25.1,22.5,9.0,25.8,17.3,44.3
1501+,Erzincan Binali Yıldırım University,Turkey,10.5–25.1,12.1,8.9,37.4,17.4,23.9
1501+,Escuela Politécnica Nacional,Ecuador,10.5–25.1,18.3,9.4,24.0,22.2,50.0
1501+,Escuela Superior Politécnica del Litoral,Ecuador,10.5–25.1,20.4,10.3,30.9,24.1,56.3
1501+,Eskişehir Osmangazi University,Turkey,10.5–25.1,22.1,19.4,20.7,19.4,27.2
1501+,Eskişehir Technical University,Turkey,10.5–25.1,20.2,10.0,22.0,25.1,23.5
1501+,"Federal Institute of Education, Science and Technology of São Paulo",Brazil,10.5–25.1,17.9,6.9,7.7,16.2,22.6
1501+,Federal Rural University of Pernambuco,Brazil,10.5–25.1,28.0,11.0,18.6,22.0,24.5
1501+,"Federal University of Agriculture, Abeokuta",Nigeria,10.5–25.1,16.1,9.0,26.2,23.5,33.1
1501+,Federal University of Espírito Santo,Brazil,10.5–25.1,23.8,12.3,25.4,47.1,29.5
1501+,Federal University of Goiás,Brazil,10.5–25.1,30.2,12.7,24.5,25.2,27.9
1501+,Federal University of Itajubá,Brazil,10.5–25.1,19.3,9.7,19.3,24.7,28.6
1501+,Federal University of Mato Grosso do Sul,Brazil,10.5–25.1,20.1,11.3,24.2,35.9,30.1
1501+,Federal University of Pará,Brazil,10.5–25.1,21.9,12.1,21.0,23.3,25.9
1501+,Federal University of Pelotas,Brazil,10.5–25.1,19.2,14.4,28.6,24.4,23.9
1501+,Universidade Federal de Pernambuco,Brazil,10.5–25.1,32.6,13.6,24.1,51.0,25.9
1501+,Federal University of Rio Grande do Norte (UFRN),Brazil,10.5–25.1,24.2,12.9,26.9,33.8,33.2
1501+,"Federal University of Technology, Owerri",Nigeria,10.5–25.1,29.0,7.3,21.8,23.5,36.7
1501+,Federal University of Viçosa,Brazil,10.5–25.1,32.2,12.6,23.2,29.8,24.6
1501+,Federal University Oye-Ekiti,Nigeria,10.5–25.1,10.8,8.6,12.6,16.0,37.7
1501+,Federico Santa María Technical University,Chile,10.5–25.1,12.7,11.8,33.8,38.1,55.6
1501+,Feng Chia University,Taiwan,10.5–25.1,17.1,18.4,24.2,73.5,37.7
1501+,Ferhat Abbas Sétif University 1,Algeria,10.5–25.1,14.3,3.9,35.2,18.9,38.1
1501+,Fluminense Federal University,Brazil,10.5–25.1,21.6,13.5,28.6,26.9,31.5
1501+,Gaziantep University,Turkey,10.5–25.1,18.1,10.9,32.8,22.3,40.0
1501+,Gdynia Maritime University,Poland,10.5–25.1,24.4,10.2,16.7,52.2,20.7
1501+,"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,10.5–25.1,18.4,12.0,39.2,22.4,36.9
1501+,Georgian Technical University,Georgia,10.5–25.1,28.4,9.3,16.0,16.6,39.9
1501+,Georgia Southern University,United States,10.5–25.1,19.1,11.7,39.6,35.4,33.9
1501+,German University in Cairo,Egypt,10.5–25.1,18.7,3.7,42.0,21.1,45.8
1501+,Gheorghe Asachi Technical University of Iaşi,Romania,10.5–25.1,15.4,10.0,21.8,31.9,32.0
1501+,GITAM University,India,10.5–25.1,20.8,9.8,23.9,19.9,26.0
1501+,GMR Institute of Technology,India,10.5–25.1,15.9,9.1,45.0,17.6,20.7
1501+,Goa University,India,10.5–25.1,32.1,12.9,25.3,23.3,24.0
1501+,Grand Valley State University,United States,10.5–25.1,20.0,9.5,31.4,30.9,37.9
1501+,Grigore T. Popa University of Medicine and Pharmacy,Romania,10.5–25.1,23.2,10.4,19.2,24.1,41.2
1501+,Gunma University,Japan,10.5–25.1,28.0,14.3,23.2,63.4,27.1
1501+,Hanoi University of Science and Technology,Vietnam,10.5–25.1,16.1,16.9,28.7,59.5,36.6
1501+,Hasanuddin University,Indonesia,10.5–25.1,18.9,9.9,26.4,19.0,19.5
1501+,Hassiba Benbouali University of Chlef,Algeria,10.5–25.1,16.0,11.9,34.9,31.3,41.6
1501+,Hellenic Open University,Greece,10.5–25.1,22.5,8.6,42.5,16.6,26.5
1501+,Hitit University,Turkey,10.5–25.1,16.0,10.4,15.0,17.2,29.8
1501+,Hongik University,South Korea,10.5–25.1,24.2,15.2,24.2,41.4,40.9
1501+,Hormozgan University of Medical Sciences,Iran,10.5–25.1,42.0,10.5,23.1,17.9,23.8
1501+,Hue University,Vietnam,10.5–25.1,13.5,9.1,18.0,16.9,48.9
1501+,Ibaraki University,Japan,10.5–25.1,18.0,12.4,13.3,40.7,26.7
1501+,Ibn Khaldoun University,Algeria,10.5–25.1,14.9,8.3,32.0,16.7,37.6
1501+,Indira Gandhi Delhi Technical University for Women,India,10.5–25.1,18.4,10.7,35.2,18.1,16.8
1501+,Instituto Politécnico de Viana do Castelo,Portugal,10.5–25.1,13.1,15.4,41.7,19.3,44.0
1501+,Instituto Politécnico Nacional (IPN),Mexico,10.5–25.1,20.7,10.3,15.1,32.5,25.6
1501+,Instituto Tecnológico Metropolitano,Colombia,10.5–25.1,12.4,7.6,7.6,18.4,29.7
1501+,Institut Teknologi Sepuluh Nopember,Indonesia,10.5–25.1,25.4,10.7,28.5,41.2,45.1
1501+,International Hellenic University,Greece,10.5–25.1,9.9,9.8,41.3,24.7,29.8
1501+,Ionian University,Greece,10.5–25.1,16.7,11.4,30.4,22.8,23.3
1501+,IPB University,Indonesia,10.5–25.1,30.8,10.5,24.8,41.8,44.1
1501+,Islamic University of Indonesia,Indonesia,10.5–25.1,15.0,10.3,15.1,17.7,35.2
1501+,Istanbul Aydın University,Turkey,10.5–25.1,20.8,9.4,32.6,17.0,56.6
1501+,Istanbul Bilgi University,Turkey,10.5–25.1,16.1,11.4,38.8,16.7,59.5
1501+,Istanbul Medipol University,Turkey,10.5–25.1,14.6,12.5,37.4,23.5,49.6
1501+,Ivane Javakhishvili Tbilisi State University,Georgia,10.5–25.1,14.0,11.2,17.8,17.8,42.6
1501+,Ivan Franko National University of Lviv,Ukraine,10.5–25.1,22.3,10.7,10.4,18.2,29.0
1501+,Iwate University,Japan,10.5–25.1,24.7,11.1,10.8,38.1,29.3
1501+,Izmir Institute of Technology,Turkey,10.5–25.1,19.7,13.3,25.6,43.3,33.4
1501+,Izmir University of Economics,Turkey,10.5–25.1,17.8,12.9,31.9,27.7,34.7
1501+,"Jagannath University, Bangladesh",Bangladesh,10.5–25.1,10.4,8.4,42.6,19.9,46.6
1501+,Jan Kochanowski University in Kielce,Poland,10.5–25.1,21.4,12.2,12.4,21.8,27.4
1501+,Jean Moulin University – Lyon 3,France,10.5–25.1,14.7,13.5,15.4,19.0,62.0
1501+,Jember University,Indonesia,10.5–25.1,10.7,9.4,17.7,19.6,21.7
1501+,Jianghan University,China,10.5–25.1,17.1,9.7,27.0,28.7,20.9
1501+,Kagoshima University,Japan,10.5–25.1,25.8,13.6,23.2,54.6,27.1
1501+,Kanagawa University,Japan,10.5–25.1,17.9,8.3,11.2,25.7,38.9
1501+,Kanazawa Medical University,Japan,10.5–25.1,26.9,10.3,18.5,32.3,20.7
1501+,Kansai University,Japan,10.5–25.1,21.4,8.1,7.7,27.3,34.6
1501+,Karabük University,Turkey,10.5–25.1,13.6,9.4,45.2,17.7,51.9
1501+,Karadeniz Technical University,Turkey,10.5–25.1,23.1,15.0,30.3,41.9,26.1
1501+,Karpagam Academy of Higher Education,India,10.5–25.1,19.0,9.3,44.3,18.7,23.7
1501+,Kasetsart University,Thailand,10.5–25.1,18.7,12.6,26.9,36.6,34.0
1501+,Kastamonu University,Turkey,10.5–25.1,15.0,11.9,43.5,16.5,37.2
1501+,Kathmandu University,Nepal,10.5–25.1,11.3,10.9,29.4,16.6,56.5
1501+,Kenyatta University,Kenya,10.5–25.1,14.2,8.9,27.2,17.2,56.1
1501+,Kharkiv Aviation Institute,Ukraine,10.5–25.1,20.5,10.0,27.2,18.0,26.0
1501+,Kharkiv National University of Radio Electronics,Ukraine,10.5–25.1,21.5,9.3,23.4,17.6,27.5
1501+,King Mongkut’s Institute of Technology Ladkrabang,Thailand,10.5–25.1,17.6,23.3,21.5,63.4,34.4
1501+,Kirikkale University,Turkey,10.5–25.1,19.4,19.4,17.3,26.5,19.1
1501+,Kırşehir Ahi Evran University,Turkey,10.5–25.1,12.2,10.4,19.5,18.6,37.0
1501+,Kitasato University,Japan,10.5–25.1,26.9,11.7,32.5,59.4,20.2
1501+,Kocaeli University,Turkey,10.5–25.1,12.1,9.6,25.2,26.0,23.6
1501+,Kochi University,Japan,10.5–25.1,25.3,12.5,22.2,44.5,27.7
1501+,Kochi University of Technology,Japan,10.5–25.1,20.2,14.2,16.3,55.6,42.0
1501+,Kogakuin University,Japan,10.5–25.1,16.6,11.6,20.0,41.5,24.7
1501+,Konya Technical University,Turkey,10.5–25.1,16.7,10.1,44.4,16.4,23.0
1501+,Kwansei Gakuin University,Japan,10.5–25.1,16.1,10.5,16.5,31.7,38.6
1501+,Kyoto Institute of Technology,Japan,10.5–25.1,26.6,16.9,14.7,75.1,32.4
1501+,Ladoke Akintola University of Technology,Nigeria,10.5–25.1,14.2,10.5,37.0,25.3,35.2
1501+,Lagos State University,Nigeria,10.5–25.1,13.3,9.0,26.1,17.0,43.7
1501+,Lahore College for Women University (LCWU),Pakistan,10.5–25.1,13.3,9.9,43.2,16.8,43.1
1501+,Larbi Tebessi University,Algeria,10.5–25.1,16.8,8.9,26.1,16.1,31.5
1501+,Latvia University of Life Sciences and Technologies,Latvia,10.5–25.1,20.3,16.2,16.6,25.4,25.0
1501+,L.N. Gumilyov Eurasian National University,Kazakhstan,10.5–25.1,22.1,12.4,21.9,16.1,52.6
1501+,Londrina State University,Brazil,10.5–25.1,31.8,16.7,19.6,34.6,24.7
1501+,Loyola Marymount University,United States,10.5–25.1,32.8,11.1,25.9,37.4,36.1
1501+,Lublin University of Technology,Poland,10.5–25.1,21.0,15.0,33.5,29.4,43.7
1501+,Lucian Blaga University of Sibiu,Romania,10.5–25.1,18.7,15.4,31.0,19.5,31.9
1501+,Lviv Polytechnic National University,Ukraine,10.5–25.1,16.5,11.7,28.8,21.9,27.1
1501+,Mackenzie Presbyterian University,Brazil,10.5–25.1,19.7,11.7,12.3,24.7,29.7
1501+,Mahasarakham University,Thailand,10.5–25.1,15.4,8.7,12.0,19.4,27.9
1501+,Manisa Celal Bayar University,Turkey,10.5–25.1,16.0,3.9,24.3,19.2,22.9
1501+,Mapúa University,Philippines,10.5–25.1,13.0,14.4,31.1,21.1,21.3
1501+,Maria Curie-Skłodowska University (UMCS),Poland,10.5–25.1,22.3,21.2,24.9,22.6,34.5
1501+,Marmara University,Turkey,10.5–25.1,23.9,11.5,31.1,28.9,30.0
1501+,Matej Bel University,Slovakia,10.5–25.1,21.3,13.8,16.8,21.1,45.3
1501+,Meiji University,Japan,10.5–25.1,16.4,11.9,13.7,38.3,30.7
1501+,Meijo University,Japan,10.5–25.1,14.4,12.3,10.9,45.4,27.1
1501+,Mersin University,Turkey,10.5–25.1,16.3,10.2,22.9,21.3,28.7
1501+,Metropolitan Autonomous University,Mexico,10.5–25.1,19.9,23.9,18.5,29.2,28.7
1501+,M’Hamed Bougara University of Boumerdès,Algeria,10.5–25.1,15.2,8.3,20.9,21.8,32.1
1501+,Middle Technical University,Iraq,10.5–25.1,9.4,7.6,24.7,17.9,24.3
1501+,Mie University,Japan,10.5–25.1,27.6,14.0,24.3,59.9,24.6
1501+,Mindanao State University – Iligan Institute of Technology,Philippines,10.5–25.1,16.4,10.1,28.4,17.5,45.2
1501+,Ming Chuan University,Taiwan,10.5–25.1,13.3,13.4,23.0,39.4,38.3
1501+,Misr University for Science and Technology,Egypt,10.5–25.1,15.4,8.5,32.3,17.8,37.6
1501+,Morgan State University,United States,10.5–25.1,22.2,14.9,26.7,20.9,57.8
1501+,Moulay Ismail University,Morocco,10.5–25.1,13.6,11.1,50.0,20.4,26.1
1501+,M S Ramaiah University of Applied Sciences (RUAS),India,10.5–25.1,24.4,8.8,28.3,19.3,18.4
1501+,Mugla Sitki Kocman University,Turkey,10.5–25.1,12.8,10.9,20.9,21.9,26.0
1501+,Muhimbili University of Health and Allied Sciences,Tanzania,10.5–25.1,20.4,12.8,27.4,24.0,48.9
1501+,Muroran Institute of Technology,Japan,10.5–25.1,18.7,10.4,21.1,43.5,42.3
1501+,Muş Alparslan University,Turkey,10.5–25.1,10.4,10.9,36.3,16.2,18.3
1501+,Mustansiriyah University,Iraq,10.5–25.1,25.2,8.9,18.0,21.8,35.2
1501+,Nara Women’s University,Japan,10.5–25.1,24.5,8.8,16.7,25.0,37.2
1501+,Naresuan University,Thailand,10.5–25.1,19.7,12.2,17.0,46.4,31.3
1501+,National Aviation University,Ukraine,10.5–25.1,22.6,8.9,36.7,16.8,24.4
1501+,National Changhua University of Education,Taiwan,10.5–25.1,26.1,19.2,19.0,44.9,24.4
1501+,National Chiayi University,Taiwan,10.5–25.1,14.4,14.5,22.8,61.4,22.3
1501+,National Chi Nan University,Taiwan,10.5–25.1,19.5,17.4,12.8,60.1,33.4
1501+,National Chin-Yi University of Technology,Taiwan,10.5–25.1,14.6,26.2,28.1,51.9,32.2
1501+,National Dong Hwa University,Taiwan,10.5–25.1,18.8,24.1,22.8,41.7,50.1
1501+,National Formosa University,Taiwan,10.5–25.1,14.2,11.3,8.2,47.5,19.0
1501+,National Ilan University,Taiwan,10.5–25.1,14.2,14.6,20.0,40.3,32.0
1501+,National Pingtung University of Science and Technology,Taiwan,10.5–25.1,16.9,15.4,21.6,47.2,31.2
1501+,National Taipei University,Taiwan,10.5–25.1,20.2,15.6,22.4,29.4,31.1
1501+,National Technical University Kharkiv Polytechnic Institute,Ukraine,10.5–25.1,24.8,9.0,16.3,19.1,33.9
1501+,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,10.5–25.1,22.1,10.7,16.9,23.3,22.3
1501+,National United University,Taiwan,10.5–25.1,13.4,12.2,14.9,49.6,21.1
1501+,National University of Colombia,Colombia,10.5–25.1,19.4,13.7,32.5,35.0,40.9
1501+,National University of Comahue (UNCo),Argentina,10.5–25.1,22.6,7.9,20.2,16.2,35.0
1501+,National University of Córdoba,Argentina,10.5–25.1,17.8,10.3,20.6,20.5,37.2
1501+,National University of Cuyo,Argentina,10.5–25.1,19.0,8.0,18.5,25.2,41.5
1501+,National University of Kaohsiung,Taiwan,10.5–25.1,13.3,16.5,12.0,39.9,32.3
1501+,National University of La Plata,Argentina,10.5–25.1,22.9,11.6,20.1,25.6,62.8
1501+,National University of Life and Environmental Sciences of Ukraine,Ukraine,10.5–25.1,16.0,8.9,26.4,24.3,23.6
1501+,National University of Medical Sciences (NUMS),Pakistan,10.5–25.1,23.5,9.9,11.4,17.2,24.5
1501+,National University of Mongolia,Mongolia,10.5–25.1,14.7,9.2,12.5,20.6,51.0
1501+,National University of San Martín,Argentina,10.5–25.1,19.6,10.8,22.8,26.3,44.8
1501+,NED University of Engineering and Technology,Pakistan,10.5–25.1,13.2,13.3,21.9,25.0,48.2
1501+,Niğde Ömer Halisdemir University,Turkey,10.5–25.1,13.5,10.0,26.3,19.5,28.9
1501+,Nitte (Deemed to be University),India,10.5–25.1,42.7,10.9,18.7,18.3,21.9
1501+,Nnamdi Azikiwe University,Nigeria,10.5–25.1,23.1,8.2,29.0,19.0,34.0
1501+,Northern Technical University,Iraq,10.5–25.1,10.9,8.5,16.8,17.3,25.8
1501+,North University of China,China,10.5–25.1,18.1,21.4,23.4,44.7,22.0
1501+,Nueva Granada Military University,Colombia,10.5–25.1,21.5,8.0,5.8,16.9,27.2
1501+,Obafemi Awolowo University,Nigeria,10.5–25.1,19.1,11.7,31.6,36.5,39.3
1501+,Ochanomizu University,Japan,10.5–25.1,27.2,18.1,19.5,36.1,40.5
1501+,October University for Modern Sciences and Arts (MSA),Egypt,10.5–25.1,21.6,8.8,38.2,16.8,31.5
1501+,Odesa I.I. Mechnikov National University,Ukraine,10.5–25.1,24.0,9.0,8.8,16.3,26.4
1501+,Oita University,Japan,10.5–25.1,26.2,11.7,18.3,34.7,23.3
1501+,Okayama University of Science,Japan,10.5–25.1,14.0,11.5,14.8,40.8,25.8
1501+,Oles Honchar Dnipro National University,Ukraine,10.5–25.1,21.7,9.5,8.3,17.4,21.0
1501+,Ondokuz Mayis University,Turkey,10.5–25.1,20.1,11.0,26.9,26.8,37.3
1501+,Oran 1 University,Algeria,10.5–25.1,31.3,8.8,11.4,18.5,37.3
1501+,Ordu University,Turkey,10.5–25.1,14.1,10.5,24.2,16.7,18.0
1501+,Osaka Institute of Technology,Japan,10.5–25.1,14.8,15.6,16.4,39.5,26.1
1501+,Osaka Medical and Pharmaceutical University,Japan,10.5–25.1,29.4,13.0,29.7,45.0,19.0
1501+,Ovidius University of Constanța,Romania,10.5–25.1,19.5,9.4,10.6,17.6,27.0
1501+,Pace University-New York,United States,10.5–25.1,34.5,3.1,27.3,28.2,47.3
1501+,Pamukkale University,Turkey,10.5–25.1,15.5,10.2,17.0,20.8,21.8
1501+,Payame Noor University,Iran,10.5–25.1,10.5,9.1,23.0,21.4,22.3
1501+,Polytechnic Institute of Porto,Portugal,10.5–25.1,14.7,12.7,44.8,34.1,30.8
1501+,Polytechnic Institute of Setúbal,Portugal,10.5–25.1,14.1,8.8,18.4,17.5,30.3
1501+,Polytechnic University of Bucharest,Romania,10.5–25.1,19.2,11.6,29.5,38.1,45.3
1501+,Polytechnic University of Timişoara,Romania,10.5–25.1,17.8,10.1,33.2,36.1,23.3
1501+,Pontifical Catholic University of Argentina,Argentina,10.5–25.1,24.2,8.7,7.2,17.6,46.9
1501+,Pontifical Catholic University of Minas Gerais,Brazil,10.5–25.1,16.1,10.2,13.9,20.0,25.4
1501+,Pontifical Catholic University of Peru,Peru,10.5–25.1,25.0,10.1,32.2,21.3,43.4
1501+,Pontifical Catholic University of Valparaíso,Chile,10.5–25.1,15.4,17.2,31.0,43.0,51.4
1501+,Pontificia Universidad Javeriana,Colombia,10.5–25.1,21.2,13.0,26.9,28.8,43.4
1501+,Pontificia Universidad Católica del Ecuador,Ecuador,10.5–25.1,14.2,8.8,16.9,16.1,56.2
1501+,University of Economics in Prague,Czechia,10.5–25.1,16.2,15.0,27.4,20.0,51.2
1501+,PSG College of Technology,India,10.5–25.1,18.3,9.7,30.2,35.5,17.8
1501+,Recep Tayyip Erdoğan University,Turkey,10.5–25.1,17.7,10.4,32.8,17.9,22.3
1501+,REVA University,India,10.5–25.1,14.0,8.5,50.7,19.6,20.3
1501+,Riga Stradiņš University,Latvia,10.5–25.1,17.5,15.7,31.0,24.3,65.4
1501+,Rikkyo University,Japan,10.5–25.1,18.9,9.4,38.9,20.4,57.9
1501+,Ritsumeikan University,Japan,10.5–25.1,20.1,14.8,26.0,60.3,46.6
1501+,R V College of Engineering,India,10.5–25.1,27.5,10.1,21.4,27.0,16.4
1501+,Ryukoku University,Japan,10.5–25.1,15.5,10.7,14.3,24.9,32.4
1501+,Rzeszów University of Technology,Poland,10.5–25.1,19.8,9.6,28.2,23.5,25.3
1501+,Saga University,Japan,10.5–25.1,25.9,15.2,22.5,62.1,25.3
1501+,Saints Cyril and Methodius University in Skopje,North Macedonia,10.5–25.1,19.3,10.2,25.3,32.3,41.1
1501+,Saitama University,Japan,10.5–25.1,21.6,16.1,18.5,51.9,40.8
1501+,Sakarya University,Turkey,10.5–25.1,16.1,10.9,45.9,27.5,30.9
1501+,Satbayev University,Kazakhstan,10.5–25.1,22.7,13.9,12.6,29.7,77.0
1501+,SGH Warsaw School of Economics,Poland,10.5–25.1,23.9,15.9,27.4,16.6,37.4
1501+,Shanxi Medical University,China,10.5–25.1,23.6,11.2,24.9,22.6,19.6
1501+,Shibaura Institute of Technology,Japan,10.5–25.1,19.6,21.0,20.6,47.1,43.7
1501+,Shimane University,Japan,10.5–25.1,25.8,13.0,20.1,39.0,29.2
1501+,Shiv Nadar University,India,10.5–25.1,27.5,7.6,35.9,24.0,35.5
1501+,Shizuoka University,Japan,10.5–25.1,20.4,16.1,18.0,63.1,35.3
1501+,Sichuan University of Science and Engineering,China,10.5–25.1,11.9,10.7,23.7,33.6,20.0
1501+,Sikkim Manipal University,India,10.5–25.1,20.9,9.2,32.8,17.1,21.7
1501+,Silpakorn University,Thailand,10.5–25.1,19.5,14.5,19.7,41.8,31.0
1501+,Sivas Cumhuriyet University,Turkey,10.5–25.1,16.8,10.2,28.6,19.0,33.0
1501+,Slovak University of Agriculture in Nitra,Slovakia,10.5–25.1,27.0,12.2,29.5,21.6,49.5
1501+,Slovak University of Technology in Bratislava,Slovakia,10.5–25.1,27.1,13.2,23.2,41.8,43.5
1501+,Sofia University,Bulgaria,10.5–25.1,27.1,12.0,18.1,29.1,36.8
1501+,"Soochow University, Taiwan",Taiwan,10.5–25.1,13.6,19.9,20.2,28.1,34.6
1501+,Sophia University,Japan,10.5–25.1,21.4,11.1,13.6,33.5,51.2
1501+,Southwest Petroleum University,China,10.5–25.1,17.6,14.4,37.3,70.4,20.7
1501+,Sri Lanka Institute of Information Technology,Sri Lanka,10.5–25.1,10.2,10.9,16.3,38.4,17.5
1501+,Srinakharinwirot University,Thailand,10.5–25.1,20.6,9.9,17.0,20.2,23.4
1501+,Sri Ramachandra Institute of Higher Education and Research,India,10.5–25.1,25.2,11.9,13.7,23.2,27.1
1501+,State University of Bahia,Brazil,10.5–25.1,18.7,8.5,4.9,16.8,20.8
1501+,State University of Malang,Indonesia,10.5–25.1,19.2,11.4,30.1,19.8,34.6
1501+,State University of Ponta Grossa,Brazil,10.5–25.1,26.6,11.7,15.9,19.0,26.9
1501+,State University of Santa Cruz,Brazil,10.5–25.1,22.8,9.7,15.5,19.6,40.8
1501+,Süleyman Demirel University,Turkey,10.5–25.1,26.2,9.9,39.3,20.2,25.3
1501+,Széchenyi István University,Hungary,10.5–25.1,18.9,13.1,23.7,27.5,30.8
1501+,Tamil Nadu Agricultural University,India,10.5–25.1,35.0,12.0,16.1,27.2,17.1
1501+,Tamkang University,Taiwan,10.5–25.1,16.4,11.7,36.7,47.8,44.0
1501+,Taras Shevchenko National University of Kyiv,Ukraine,10.5–25.1,24.7,14.2,22.2,25.5,31.7
1501+,Tashkent University of Information Technologies,Uzbekistan,10.5–25.1,16.8,9.2,38.7,21.4,21.9
1501+,Technical University of Cluj-Napoca,Romania,10.5–25.1,15.4,13.4,39.6,36.9,26.2
1501+,Technical University of Liberec,Czechia,10.5–25.1,24.2,19.4,19.6,39.2,46.5
1501+,Technical University of Sofia,Bulgaria,10.5–25.1,22.7,11.6,21.3,34.5,24.1
1501+,Technological University of Pereira,Colombia,10.5–25.1,15.5,2.8,10.2,18.5,33.3
1501+,Teikyo University,Japan,10.5–25.1,17.7,12.3,32.9,38.9,27.2
1501+,Telkom University,Indonesia,10.5–25.1,15.2,12.2,36.0,32.0,50.6
1501+,Temuco Catholic University,Chile,10.5–25.1,20.8,10.5,13.8,19.5,43.7
1501+,Tezpur University,India,10.5–25.1,32.5,14.4,28.4,28.7,18.6
1501+,Thiagarajar College of Engineering,India,10.5–25.1,19.8,9.2,29.5,19.6,18.2
1501+,Tikrit University,Iraq,10.5–25.1,28.3,8.3,12.0,16.1,22.0
1501+,Toho University,Japan,10.5–25.1,23.8,15.1,31.9,57.1,21.2
1501+,Tokat Gaziosmanpaşa University,Turkey,10.5–25.1,17.3,9.8,35.6,20.7,33.6
1501+,Tokyo City University,Japan,10.5–25.1,16.5,11.7,13.3,46.6,30.3
1501+,Tokyo Denki University,Japan,10.5–25.1,14.8,9.1,12.6,50.8,21.7
1501+,Tokyo University of Agriculture,Japan,10.5–25.1,17.2,9.7,20.8,33.4,24.4
1501+,Tokyo University of Technology,Japan,10.5–25.1,15.7,12.2,9.7,29.3,33.5
1501+,Tottori University,Japan,10.5–25.1,28.0,13.5,20.7,54.4,25.4
1501+,Toyama Prefectural University,Japan,10.5–25.1,23.8,9.7,8.9,30.7,22.5
1501+,Toyo University,Japan,10.5–25.1,14.4,9.1,9.6,31.8,39.9
1501+,Trakia University,Bulgaria,10.5–25.1,20.7,9.7,5.4,18.3,27.0
1501+,Trakya University,Turkey,10.5–25.1,12.7,9.3,19.3,19.7,30.9
1501+,Tribhuvan University,Nepal,10.5–25.1,10.8,8.0,48.6,17.5,46.7
1501+,UNIR – International University of La Rioja,Spain,10.5–25.1,12.2,15.2,37.8,19.9,57.5
1501+,Universidad Andrés Bello (UNAB),Chile,10.5–25.1,15.3,10.7,34.7,24.6,51.4
1501+,Universidad Autónoma Chapingo,Mexico,10.5–25.1,24.1,17.9,6.6,16.3,24.7
1501+,Universidad Autónoma de Ciudad Juárez,Mexico,10.5–25.1,16.0,8.0,8.9,17.2,35.8
1501+,Universidad Autónoma de Coahuila,Mexico,10.5–25.1,16.5,8.3,12.7,17.6,27.3
1501+,Universidad Autónoma del Estado de Hidalgo,Mexico,10.5–25.1,13.7,9.5,10.4,19.4,26.0
1501+,Universidad Autónoma del Estado de Mexico (UAEMex),Mexico,10.5–25.1,23.1,9.1,7.7,17.2,26.6
1501+,Universidad Autónoma del Estado de Morelos,Mexico,10.5–25.1,15.5,13.0,8.6,26.6,25.8
1501+,Universidad Autónoma de Nuevo León (UANL),Mexico,10.5–25.1,13.1,9.4,16.3,21.7,32.1
1501+,Universidad Autónoma de Querétaro,Mexico,10.5–25.1,18.5,11.0,16.6,27.8,29.0
1501+,Universidad Autónoma de Yucatán,Mexico,10.5–25.1,15.1,10.1,13.8,23.0,33.2
1501+,Universidad Católica de la Santísima Concepción,Chile,10.5–25.1,14.0,21.0,27.2,17.1,48.6
1501+,Universidad Católica del Maule,Chile,10.5–25.1,13.2,14.9,22.9,16.4,54.8
1501+,Universidad Científica del Sur,Peru,10.5–25.1,22.5,8.9,13.2,16.0,44.0
1501+,Universidad de las Fuerzas Armadas – ESPE,Ecuador,10.5–25.1,14.2,8.3,9.5,19.1,37.0
1501+,Universidad del Valle,Colombia,10.5–25.1,24.0,9.0,12.1,19.8,39.0
1501+,Universidad Distrital Francisco José de Caldas,Colombia,10.5–25.1,16.8,9.1,9.1,19.0,28.5
1501+,Universidade do Estado de Santa Catarina,Brazil,10.5–25.1,28.3,11.5,16.2,23.1,22.1
1501+,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,10.5–25.1,34.0,14.9,24.1,29.5,29.5
1501+,Universidade Estadual de Feira de Santana (UEFS),Brazil,10.5–25.1,21.2,9.3,13.7,17.7,26.8
1501+,Universidade Estadual de Maringá,Brazil,10.5–25.1,31.6,14.0,19.3,26.2,22.6
1501+,Universidade Estadual do Maranhão,Brazil,10.5–25.1,12.5,9.2,6.1,15.9,22.0
1501+,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,10.5–25.1,30.6,11.7,21.9,21.2,35.3
1501+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,10.5–25.1,27.9,9.8,8.2,18.1,21.1
1501+,Universidade Federal da Bahia,Brazil,10.5–25.1,28.8,12.4,27.1,22.6,29.4
1501+,Universidade Federal da Grande Dourados,Brazil,10.5–25.1,26.3,9.8,9.1,19.3,22.9
1501+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,10.5–25.1,21.1,12.9,26.2,29.0,28.3
1501+,Universidade Federal de Juiz de Fora,Brazil,10.5–25.1,22.8,12.4,30.9,23.1,29.7
1501+,Universidade Federal de Sergipe,Brazil,10.5–25.1,19.4,10.4,26.0,21.2,29.1
1501+,Universidade Federal do Ceará (UFC),Brazil,10.5–25.1,25.9,17.8,25.4,45.6,26.9
1501+,Universidade Federal do Maranhão (UFMA),Brazil,10.5–25.1,15.2,11.1,15.0,25.6,23.2
